date,intake_kcal,burn_kcal,net_intake_kcal
2024-04-01,1510,53,1457
2024-04-02,1388,673,715
2024-04-03,1379,532,847
2024-04-04,1371,1565,-194
2024-04-05,1293,514,779
2024-04-06,1531,539,992
2024-04-07,1321,998,323
2024-04-08,1187,568,619
2024-04-09,1415,790,625
2024-04-10,1324,512,812
2024-04-11,1391,384,1007
2024-04-12,1231,656,575
2024-04-13,1665,700,965
2024-04-14,1319,351,968
2024-04-15,1585,779,806
2024-04-16,1350,333,1017
2024-04-17,1244,460,784
2024-04-18,1626,833,793
2024-04-19,1115,762,353
2024-04-20,1631,372,1259
2024-04-21,1340,182,1158
2024-04-22,1452,582,870
2024-04-23,1492,815,677
2024-04-24,1566,1166,400
2024-04-25,1685,301,1384
2024-04-26,1501,762,739
2024-04-27,1732,867,865
2024-04-28,1394,338,1056
2024-04-29,1270,366,904
2024-04-30,1492,752,740
2024-05-01,1180,1101,79
2024-05-02,1696,949,747
2024-05-03,1215,412,803
2024-05-04,1126,,
2024-05-05,1123,,
2024-05-06,1204,126,1078
2024-05-07,1095,220,875
2024-05-08,1269,748,521
2024-05-09,1475,311,1164
2024-05-10,1415,590,825
2024-05-11,1372,946,426
2024-05-12,1723,330,1393
2024-05-13,1363,650,713
2024-05-14,1455,261,1194
2024-05-15,1562,557,1005
2024-05-16,1456,889,567
2024-05-17,1690,459,1231
2024-05-18,1525,814,711
2024-05-19,1225,705,520
2024-05-20,1319,761,558
2024-05-21,1490,224,1266
2024-05-22,1414,210,1204
2024-05-23,1086,1072,14
2024-05-24,1375,555,820
2024-05-25,1282,160,1122
2024-05-26,1108,409,699
2024-05-27,1134,530,604
2024-05-28,3123,519,2604
2024-05-29,996,882,114
2024-05-30,1223,349,874
2024-05-31,1034,857,177
2024-06-01,1330,2483,-1153
2024-06-02,1261,,
2024-06-03,1382,193,1189
2024-06-04,1229,655,574
2024-06-05,1272,434,838
2024-06-06,1181,620,561
2024-06-07,1241,495,746
2024-06-08,1406,256,1150
2024-06-09,1131,614,517
2024-06-10,1267,560,707
2024-06-11,1982,718,1264
2024-06-12,1372,810,562
2024-06-13,1760,,
2024-06-14,965,,
2024-06-15,1069,1273,-204
2024-06-16,1125,,
2024-06-17,788,,
2024-06-23,1149,814,335
2024-06-24,1144,,
2024-06-25,1055,,
2024-06-26,1119,,
2024-06-27,1139,,
2024-06-28,1241,504,737
2024-06-29,1161,,
2024-06-30,1177,,
