date,calories_kcal,source
2026-07-01,1500,다이어리앱
2026-07-02,1532,다이어리앱
2026-07-03,1343,다이어리앱
2026-07-04,1228,다이어리앱
2026-07-05,1451,다이어리앱
2026-07-06,1772,다이어리앱
2026-07-07,1581,다이어리앱
2026-07-08,1374,다이어리앱
2026-07-09,1950,다이어리앱
2026-07-10,1373,다이어리앱
2026-07-11,893,다이어리앱
2026-07-12,1634,다이어리앱
2026-07-13,1446,다이어리앱
2026-07-16,1219,다이어리앱
2026-07-17,1340,다이어리앱
2026-07-18,1520,다이어리앱
2026-07-19,1340,다이어리앱
2026-07-20,1536,다이어리앱
2026-07-21,1581,다이어리앱
2026-07-22,1263,다이어리앱
2026-07-23,1616,다이어리앱
2026-07-24,1694,다이어리앱
2026-07-26,1621,다이어리앱
2026-08-01,1597,다이어리앱
2026-08-02,1845,다이어리앱
2026-08-03,964,다이어리앱
2026-08-04,1499,다이어리앱
