date,steps,active_energy_kcal,exercise_min,distance_km
2017-01-17,17,0,0,0.01
2017-01-18,3157,0,0,2.22
2017-01-19,5778,0,0,4.03
2017-01-20,3678,0,0,2.33
2017-01-21,7503,0,0,4.77
2017-01-22,637,0,0,0.41
2017-01-23,7881,0,0,5.15
2017-01-24,2280,0,0,1.67
2017-01-25,7226,0,0,4.96
2017-01-26,3527,0,0,2.59
2017-01-27,2422,0,0,1.61
2017-01-28,651,0,0,0.38
2017-01-29,943,0,0,0.58
2017-01-30,3126,0,0,2.11
2017-01-31,5912,0,0,4.0
2017-02-01,4069,0,0,2.93
2017-02-02,4066,0,0,2.96
2017-02-03,6710,0,0,4.7
2017-02-04,3082,0,0,2.08
2017-02-05,4774,0,0,3.11
2017-02-06,3122,0,0,2.08
2017-02-07,7004,0,0,4.78
2017-02-08,4920,0,0,3.26
2017-02-09,6930,0,0,4.18
2017-02-10,3121,0,0,2.24
2017-02-11,6240,0,0,4.01
2017-02-12,5978,0,0,4.01
2017-02-13,4667,0,0,3.39
2017-02-14,5762,0,0,3.56
2017-02-15,6566,0,0,4.46
2017-02-16,3713,0,0,2.72
2017-02-17,11709,0,0,7.71
2017-02-18,5465,0,0,3.33
2017-02-19,2992,0,0,1.76
2017-02-20,5109,0,0,3.3
2017-02-21,1173,0,0,0.8
2017-02-22,3458,0,0,2.19
2017-02-23,50,0,0,0.04
2017-02-24,5983,0,0,3.72
2017-02-25,5379,0,0,3.23
2017-02-26,4056,0,0,2.77
2017-02-27,9560,0,0,5.88
2017-02-28,8877,0,0,5.45
2017-03-01,7168,0,0,4.98
2017-03-02,7038,0,0,4.25
2017-03-03,3485,0,0,2.18
2017-03-04,3905,0,0,2.45
2017-03-05,73,0,0,0.06
2017-03-06,10477,0,0,7.06
2017-03-07,5115,0,0,3.27
2017-03-08,9136,0,0,5.86
2017-03-09,7944,0,0,5.16
2017-03-10,6139,0,0,4.17
2017-03-11,3797,0,0,2.52
2017-03-12,990,0,0,0.65
2017-03-13,6729,0,0,4.73
2017-03-14,7576,0,0,4.73
2017-03-15,7616,0,0,4.94
2017-03-16,4971,0,0,3.18
2017-03-17,10443,0,0,7.15
2017-03-18,921,0,0,0.62
2017-03-19,8044,0,0,5.95
2017-03-20,6871,0,0,4.74
2017-03-21,1125,0,0,0.73
2017-03-22,6945,0,0,4.97
2017-03-23,10887,0,0,7.54
2017-03-24,6373,0,0,4.48
2017-03-25,4578,0,0,3.23
2017-03-26,3912,0,0,2.88
2017-03-27,3829,0,0,2.86
2017-03-28,5624,0,0,3.9
2017-03-29,4011,0,0,2.5
2017-03-30,4931,0,0,3.56
2017-03-31,1329,0,0,0.82
2017-04-01,1992,0,0,1.29
2017-04-02,9291,0,0,6.19
2017-04-03,6399,0,0,4.37
2017-04-04,11958,0,0,8.5
2017-04-05,8357,0,0,5.86
2017-04-06,5674,0,0,3.87
2017-04-07,12723,0,0,8.33
2017-04-08,3566,0,0,2.47
2017-04-09,10688,0,0,7.36
2017-04-10,10055,0,0,7.03
2017-04-11,12269,0,0,8.47
2017-04-12,10655,0,0,7.42
2017-04-13,7288,0,0,4.95
2017-04-14,9846,0,0,6.67
2017-04-15,10503,0,0,7.24
2017-04-16,5958,0,0,4.1
2017-04-17,6392,0,0,4.32
2017-04-18,9262,0,0,6.44
2017-04-19,7429,0,0,5.32
2017-04-20,7852,0,0,5.11
2017-04-21,4228,0,0,2.77
2017-04-22,3547,0,0,2.52
2017-04-23,4535,0,0,3.02
2017-04-24,5725,0,0,3.8
2017-04-25,4838,0,0,3.51
2017-04-26,3118,0,0,2.2
2017-04-27,8559,0,0,5.84
2017-04-28,8027,0,0,5.73
2017-04-29,3045,0,0,2.26
