date,datetime,metric,value,source
2017-09-08,2017-09-08 23:32:56 +0900,bmi,23.8,PICOOC
2017-09-08,2017-09-08 23:32:56 +0900,body_fat_pct,32.3,PICOOC
2017-09-08,2017-09-08 23:32:56 +0900,body_mass_kg,66.4,PICOOC
2017-09-08,2017-09-08 23:32:56 +0900,lean_body_mass_kg,45.0,PICOOC
2018-07-21,2018-07-21 11:46:58 +0900,bmi,21.86,InBody
2018-07-21,2018-07-21 11:46:58 +0900,body_fat_pct,27.6,InBody
2018-07-21,2018-07-21 11:46:58 +0900,body_mass_kg,61.7,InBody
2018-07-21,2018-07-21 11:46:58 +0900,lean_body_mass_kg,44.7,InBody
2019-01-29,2019-01-29 20:53:36 +0900,bmi,23.5,PICOOC
2019-01-29,2019-01-29 20:53:36 +0900,body_fat_pct,32.5,PICOOC
2019-01-29,2019-01-29 20:53:36 +0900,body_mass_kg,66.2,PICOOC
2019-01-29,2019-01-29 20:53:36 +0900,lean_body_mass_kg,44.7,PICOOC
2019-01-29,2019-01-29 20:58:22 +0900,bmi,23.1,PICOOC
2019-01-29,2019-01-29 20:58:22 +0900,body_fat_pct,31.8,PICOOC
2019-01-29,2019-01-29 20:58:22 +0900,body_mass_kg,65.2,PICOOC
2019-01-29,2019-01-29 20:58:22 +0900,lean_body_mass_kg,44.5,PICOOC
2019-01-29,2019-01-29 20:59:41 +0900,bmi,23.1,PICOOC
2019-01-29,2019-01-29 20:59:41 +0900,body_fat_pct,31.8,PICOOC
2019-01-29,2019-01-29 20:59:41 +0900,body_mass_kg,65.2,PICOOC
2019-01-29,2019-01-29 20:59:41 +0900,lean_body_mass_kg,44.5,PICOOC
2019-01-30,2019-01-30 09:22:53 +0900,bmi,23.0,PICOOC
2019-01-30,2019-01-30 09:22:53 +0900,body_fat_pct,32.5,PICOOC
2019-01-30,2019-01-30 09:22:53 +0900,body_mass_kg,64.8,PICOOC
2019-01-30,2019-01-30 09:22:53 +0900,lean_body_mass_kg,43.7,PICOOC
2019-01-31,2019-01-31 17:16:03 +0900,bmi,23.1,PICOOC
2019-01-31,2019-01-31 17:16:03 +0900,body_fat_pct,31.3,PICOOC
2019-01-31,2019-01-31 17:16:03 +0900,body_mass_kg,65.2,PICOOC
2019-01-31,2019-01-31 17:16:03 +0900,lean_body_mass_kg,44.8,PICOOC
2019-02-03,2019-02-03 01:40:44 +0900,bmi,23.1,PICOOC
2019-02-03,2019-02-03 01:40:44 +0900,body_fat_pct,32.2,PICOOC
2019-02-03,2019-02-03 01:40:44 +0900,body_mass_kg,65.1,PICOOC
2019-02-03,2019-02-03 01:40:44 +0900,lean_body_mass_kg,44.1,PICOOC
2019-02-03,2019-02-03 10:14:18 +0900,bmi,23.0,PICOOC
2019-02-03,2019-02-03 10:14:18 +0900,body_fat_pct,32.1,PICOOC
2019-02-03,2019-02-03 10:14:18 +0900,body_mass_kg,65.0,PICOOC
2019-02-03,2019-02-03 10:14:18 +0900,lean_body_mass_kg,44.1,PICOOC
2019-02-04,2019-02-04 09:17:25 +0900,bmi,22.8,PICOOC
2019-02-04,2019-02-04 09:17:25 +0900,body_fat_pct,33.5,PICOOC
2019-02-04,2019-02-04 09:17:25 +0900,body_mass_kg,64.3,PICOOC
2019-02-04,2019-02-04 09:17:25 +0900,lean_body_mass_kg,42.8,PICOOC
2019-02-06,2019-02-06 22:29:35 +0900,bmi,22.9,PICOOC
2019-02-06,2019-02-06 22:29:35 +0900,body_fat_pct,33.8,PICOOC
